"clock","adjusted","MBMS Total","MBMS Black NH","MBMS White NH","MESA Total","MESA US Total","MESA USB Black NH","MESA USB White NH","MESA USB Hispanic","MESA NUSB Total","MESA NUSB Black NH","MESA NUSB White NH","MESA NUSB Hispanic"
"age.hannum","raw","42.01 (6.96)","41.66 (6.78)","43.13 (7.44)","72.93 (8.65)","73.43 (8.51)","72.26 (8.00)","74.27 (8.62)","72.39 (8.53)","71.21 (8.92)","66.88 (7.72)","75.10 (7.81)","71.41 (9.00)"
"age.horvath","raw","50.04 (7.82)","50.23 (7.49)","49.41 (8.82)","63.82 (8.72)","64.39 (8.62)","64.58 (8.14)","65.13 (8.43)","62.03 (9.34)","61.85 (8.78)","58.36 (6.43)","65.15 (7.98)","61.98 (9.09)"
"zhang_clock","raw","48.85 (7.84)","48.62 (7.52)","49.60 (8.83)","70.70 (7.89)","71.22 (7.74)","70.89 (7.31)","71.92 (7.92)","69.58 (7.47)","68.94 (8.18)","64.51 (7.32)","72.35 (6.75)","69.24 (8.22)"
"phenoage","raw","41.82 (8.10)","42.13 (7.93)","40.80 (8.62)","71.77 (9.29)","72.16 (9.24)","72.52 (9.12)","72.30 (9.21)","71.35 (9.48)","70.41 (9.35)","67.39 (7.97)","73.99 (8.15)","70.41 (9.61)"
"dunedin_age","raw","1.13 (0.09)","1.14 (0.09)","1.10 (0.10)","1.06 (0.08)","1.06 (0.08)","1.10 (0.08)","1.05 (0.07)","1.06 (0.07)","1.05 (0.07)","1.08 (0.07)","1.06 (0.08)","1.05 (0.07)"
"zhang.mortality","raw","-1.15 (0.43)","-1.15 (0.44)","-1.18 (0.43)","-1.90 (0.36)","-1.86 (0.35)","-1.88 (0.38)","-1.84 (0.33)","-1.92 (0.36)","-2.00 (0.37)","-2.19 (0.39)","-1.85 (0.42)","-1.99 (0.34)"
"DNAmGrimAge","raw","54.49 (7.18)","54.77 (6.96)","53.56 (7.82)","79.37 (8.13)","79.84 (8.05)","81.52 (7.64)","79.52 (8.04)","78.73 (8.29)","77.81 (8.22)","74.60 (6.65)","80.58 (7.55)","77.97 (8.43)"
"miage.clock","raw","807.91 (136.97)","820.59 (143.34)","766.72 (104.52)","735.45 (92.96)","734.38 (92.53)","770.84 (101.45)","718.46 (81.05)","736.97 (100.17)","739.08 (94.47)","744.22 (99.01)","709.83 (105.16)","742.94 (91.29)"
"epiToc.clock","raw","0.06 (0.01)","0.06 (0.02)","0.06 (0.01)","0.09 (0.01)","0.09 (0.01)","0.09 (0.01)","0.09 (0.00)","0.09 (0.01)","0.09 (0.01)","0.09 (0.01)","0.09 (0.00)","0.09 (0.01)"
"dnamtl","raw","-0.87 (0.25)","-0.84 (0.25)","-0.96 (0.24)","-1.12 (0.23)","-1.14 (0.22)","-1.02 (0.19)","-1.19 (0.21)","-1.14 (0.23)","-1.07 (0.23)","-0.90 (0.21)","-1.20 (0.20)","-1.08 (0.22)"
"age.hannum","adjusted","0.00 (4.95)","-0.39 (4.59)","1.26 (5.84)","0.00 (4.74)","0.19 (4.78)","-1.74 (4.97)","0.94 (4.44)","0.34 (4.91)","-0.66 (4.53)","-2.08 (4.49)","0.81 (4.53)","-0.63 (4.48)"
"age.horvath","adjusted","0.00 (6.21)","0.15 (5.85)","-0.50 (7.27)","0.00 (5.43)","0.29 (5.43)","-0.25 (5.20)","0.93 (5.00)","-0.96 (6.53)","-0.97 (5.33)","-1.70 (5.16)","0.05 (4.69)","-1.00 (5.46)"
"zhang_clock","adjusted","0.00 (4.78)","-0.28 (4.27)","0.92 (6.12)","0.00 (3.17)","0.21 (3.11)","-0.89 (3.08)","0.82 (3.01)","-0.24 (2.99)","-0.71 (3.30)","-2.22 (3.98)","0.29 (2.53)","-0.58 (3.18)"
"phenoage","adjusted","0.00 (6.68)","0.28 (6.37)","-0.89 (7.57)","0.00 (5.91)","0.09 (5.96)","-0.31 (6.29)","0.13 (5.86)","0.45 (5.83)","-0.31 (5.77)","-0.44 (6.34)","0.87 (5.14)","-0.48 (5.76)"
"dunedin_age","adjusted","0.00 (0.09)","0.01 (0.09)","-0.03 (0.10)","0.00 (0.08)","0.00 (0.08)","0.04 (0.08)","-0.01 (0.07)","0.00 (0.07)","0.00 (0.07)","0.02 (0.07)","0.00 (0.08)","-0.01 (0.07)"
"zhang.mortality","adjusted","0.00 (0.43)","0.01 (0.44)","-0.03 (0.43)","0.00 (0.35)","0.03 (0.35)","0.00 (0.38)","0.05 (0.33)","-0.01 (0.35)","-0.09 (0.35)","-0.24 (0.37)","0.02 (0.42)","-0.09 (0.32)"
"DNAmGrimAge","adjusted","0.00 (4.81)","0.24 (4.71)","-0.79 (5.07)","0.00 (4.14)","0.16 (4.23)","1.10 (4.55)","-0.24 (4.10)","0.20 (4.04)","-0.55 (3.75)","-0.93 (3.01)","-0.12 (4.70)","-0.54 (3.71)"
"miage.clock","adjusted","0.00 (134.77)","12.48 (140.50)","-40.52 (105.25)","0.00 (91.95)","-1.66 (91.39)","33.35 (100.97)","-17.76 (80.36)","3.17 (97.43)","5.62 (93.75)","16.28 (101.05)","-28.19 (104.68)","9.16 (89.59)"
"epiToc.clock","adjusted","0.00 (0.01)","0.00 (0.02)","0.00 (0.01)","0.00 (0.01)","0.00 (0.01)","0.00 (0.01)","0.00 (0.00)","0.00 (0.01)","0.00 (0.01)","0.00 (0.01)","0.00 (0.00)","0.00 (0.01)"
"dnamtl","adjusted","0.00 (0.23)","0.03 (0.23)","-0.09 (0.21)","0.00 (0.19)","-0.01 (0.19)","0.12 (0.16)","-0.06 (0.17)","-0.03 (0.20)","0.04 (0.19)","0.15 (0.16)","-0.06 (0.16)","0.03 (0.19)"
